innovation_tech_name,radar_zone,radar_locate,radar_size
Generative AI,H001,Adopt,Transformational
EA as a Service,H001,Adopt,High
Web3,H001,Trial,Transformational
Low-Code/No-Code Solutions,H001,Trial,Moderate
Agile Architecture,H001,Assess,Moderate
iPaaS,H001,Hold,High
API Standards,H002,Adopt,Moderate
AIOps Platforms,H002,Hold,High
AI-Augmented Software Engineering,H002,Assess,Transformational
Digital Twins of Government,H002,Trial,High
Blockchain and IoT,H002,Trial,Transformational
Smart Factory,H002,Hold,Transformational
EV and Charging Infrastructure,H003,Trial,High
Enterprise Metadata Management,H003,Hold,High
Agile Beyond IT,H003,Assess,Transformational
API Management PaaS,H003,Trial,Moderate
Application Monitoring and Protection,H003,Adopt,Moderate
City Operations Center,H003,Trial,Transformational
Blockchain Wallets,H004,Trial,High
AI Cloud Services,H004,Trial,High
Cloud ERP for Manufacturing,H004,Adopt,Moderate
ZTNA,H004,Assess,Moderate
Data Security as a Service,H004,Trial,Transformational
V2X Communications,H004,Assess,Transformational
