innovation_tech_name,radar_zone,radar_locate,radar_size
EA as a Service,H001,Adopt,High
Generative AI,H001,Adopt,Transformational
Web3,H001,Trial,Transformational
Agile Architecture,H001,Assess,Moderate
Metaverse in Manufacturing,H001,Assess,Transformational
Digital Twin,H001,Trial,Transformational
Digital Thread,H001,Assess,High
Smart City Framework,H001,Trial,Transformational
API Standards,H002,Adopt,Moderate
Continuous Delivery,H002,Adopt,High
AI-Augmented Software Engineering,H002,Trial,Transformational
ERP for Financial Planning,H002,Assess,High
Low-Code/No-Code Solutions,H002,Trial,Moderate
AI-Driven Innovation,H002,Trial,Transformational
Data Security Platforms,H002,Assess,High
Carbon Measurement in Transportation,H002,Hold,High
AI in Talent Acquisition,H003,Hold,High
Digital Humans,H003,Trial,High
Continuous Employee Performance Management,H003,Hold,Moderate
Data Security Governance,H003,Trial,Transformational
AIOps Platforms,H003,Assess,High
Enterprise ESG Management Software,H003,Trial,High
Data and Analytics Governance,H003,Hold,High
City Operations Center,H003,Trial,Transformational
Cloud ERP for Manufacturing,H004,Adopt,Moderate
Digital Twins in Transport,H004,Trial,Moderate
Generative Design AI,H004,Assess,Transformational
ERP Embedded Predictive Analytics,H004,Trial,Transformational
Integrated HR Service Management,H004,Trial,High
Cybersecurity Performance Management,H004,Assess,High
Cloud Networking,H004,Assess,High
IoT in Smart Cities,H004,Trial,Transformational
